"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)","Ch-2 (Hz)"
60,57.220458984375,57.220458984375
62.8569451673799,57.220458984375,57.220458984375
65.8499259295834,57.220458984375,57.220458984375
68.9854197238641,76.2939453125,76.2939453125
72.2702124155269,76.2939453125,76.2939453125
75.7114129839612,76.2939453125,76.2939453125
79.3164689079617,76.2939453125,76.2939453125
83.0931822836324,76.2939453125,76.2939453125
87.0497267097564,95.367431640625,95.367431640625
91.194664977176,95.367431640625,95.367431640625
95.5369676004655,95.367431640625,95.367431640625
100.086032232003,95.367431640625,95.367431640625
104.851704000461,95.367431640625,95.367431640625
109.844296817722,114.44091796875,114.44091796875
115.074615700349,114.44091796875,114.44091796875
120.553980153903,114.44091796875,114.44091796875
126.294248670721,133.514404296875,133.514404296875
132.307844394183,133.514404296875,133.514404296875
138.60778200499,133.514404296875,133.514404296875
145.207695887663,152.587890625,152.587890625
152.121869638207,152.587890625,152.587890625
159.365266976801,152.587890625,152.587890625
166.953564132427,171.661376953125,171.661376953125
174.90318376951,171.661376953125,171.661376953125
183.231330530005,190.73486328125,190.73486328125
191.956028267843,190.73486328125,190.73486328125
201.09615905633,209.808349609375,209.808349609375
210.671504052908,209.808349609375,209.808349609375
220.702786309718,228.8818359375,228.8818359375
231.211715622632,228.8818359375,228.8818359375
242.221035515793,247.955322265625,247.955322265625
253.75457246337,247.955322265625,247.955322265625
265.837287455033,267.02880859375,267.02880859375
278.495330016767,286.102294921875,286.102294921875
291.756094803921,286.102294921875,286.102294921875
305.648280888982,305.17578125,305.17578125
320.201953872378,324.249267578125,324.249267578125
335.448610950733,343.32275390625,343.32275390625
351.4212490834,343.32275390625,343.32275390625
368.15443640479,362.396240234375,362.396240234375
385.684387037059,381.4697265625,381.4697265625
404.049039465049,400.543212890625,400.543212890625
423.288138643118,419.61669921875,419.61669921875
443.443322011546,438.690185546875,438.690185546875
464.558209608676,457.763671875,457.763671875
486.678498473812,495.91064453125,495.91064453125
509.852061545186,514.984130859375,514.984130859375
534.129051267022,534.0576171875,534.0576171875
559.562008129931,553.131103515625,553.131103515625
586.205974379534,591.278076171875,591.278076171875
614.118613139415,610.3515625,610.3515625
643.360333206193,648.49853515625,648.49853515625
673.994419786816,667.572021484375,667.572021484375
706.087171460998,705.718994140625,705.718994140625
739.708043665239,743.865966796875,743.865966796875
774.929799008929,782.012939453125,782.012939453125
811.828664747883,820.159912109375,820.159912109375
850.484497756082,858.306884765625,858.306884765625
890.980957352678,896.453857421875,896.453857421875
933.405686358282,934.600830078125,934.600830078125
977.850500772385,972.747802734375,972.747802734375
1024.41158848241,1029.96826171875,1029.96826171875
1073.18971743446,1068.115234375,1068.115234375
1124.29045371623,1125.33569335937,1125.33569335937
1177.82439002416,1182.55615234375,1182.55615234375
1233.90738500919,1239.77661132812,1239.77661132812
1292.66081401913,1296.9970703125,1296.9970703125
1354.21183178035,1354.21740722656,1354.21740722656
1418.69364758724,1411.43798828125,1411.43798828125
1486.24581359502,1487.73193359375,1487.73193359375
1557.01452683984,1564.02587890625,1564.02587890625
1631.15294563976,1640.31982421875,1640.31982421875
1708.82152106148,1716.61376953125,1716.61376953125
1790.18834417,1792.90771484375,1792.90771484375
1875.42950981294,1869.20166015625,1869.20166015625
1964.72949772663,1964.56896972656,1964.56896972656
2058.28157178895,2059.9365234375,2059.9365234375
2156.28819828277,2155.30395507812,2155.30395507812
2258.96148407548,2250.67138671875,2250.67138671875
2366.52363566259,2365.1123046875,2365.1123046875
2479.2074400692,2479.55322265625,2479.55322265625
2597.25676864983,2593.994140625,2593.994140625
2720.92710487714,2727.50854492188,2727.50854492188
2850.48609726167,2841.94946289063,2841.94946289063
2986.21413859926,2994.53735351562,2994.53735351562
3128.4049727998,3128.0517578125,3128.0517578125
3277.3663306106,3280.6396484375,3280.6396484375
3433.42059561012,3433.2275390625,3433.2275390625
3596.90550191364,3604.88891601562,3604.88891601562
3768.17486510054,3776.55004882812,3776.55004882812
3947.5993479454,3948.21166992187,3948.21166992187
4135.56726260981,4138.9462890625,4138.9462890625
4332.48541103127,4329.681640625,4329.681640625
4538.77996532776,4539.4892578125,4539.4892578125
4754.89739012349,4749.2978515625,4749.2978515625
4981.30540879183,4978.1796875,4978.1796875
5218.49401570669,5226.13525390625,5226.13525390625
5466.97653669292,5474.0908203125,5474.0908203125
5727.29073997099,5722.04541015625,5722.04541015625
5999.99999999998,6008.1484375,6008.1484375

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)","Ch-2 (deg)"
60,67.9050750732422,0
62.8569451673799,174.940246582031,0
65.8499259295834,174.724975585937,0
